name,localName,sku,barcode,brand,category,subcategory,unit,purchasePrice,costPrice,retailPrice,wholesalePrice,openingStock,stockAlertQty,commissionPct,status,condition,description
12MG MUSE NICOTINE POUCHES (UK MADE) - 20 POUCHES - LIQUORICE,,NIC-POUCH-MUSE-217,,MUSE,NICOTINE,NICOTINE POUCHES,Pieces,2.36,2.36,4.72,,2.0,,,Active,New,
12MG MUSE NICOTINE POUCHES (UK MADE) - 20 POUCHES - CREAMY COFFEE,,NIC-POUCH-MUSE-214,,MUSE,NICOTINE,NICOTINE POUCHES,Pieces,2.36,2.36,4.72,,1.0,,,Active,New,
12MG MUSE NICOTINE POUCHES (UK MADE) - 20 POUCHES - IRON BREW,,NIC-POUCH-MUSE-215,,MUSE,NICOTINE,NICOTINE POUCHES,Pieces,2.36,2.36,4.72,,1.0,,,Active,New,
12MG MUSE NICOTINE POUCHES (UK MADE) - 20 POUCHES - TROPICA,,NIC-POUCH-MUSE-220,,MUSE,NICOTINE,NICOTINE POUCHES,Pieces,2.36,2.36,4.72,,2.0,,,Active,New,
12MG MUSE NICOTINE POUCHES (UK MADE) - 20 POUCHES - KIWI PASSION GUAVA,,NIC-POUCH-MUSE-216,,MUSE,NICOTINE,NICOTINE POUCHES,Pieces,2.36,2.36,4.72,,2.0,,,Active,New,
12MG MUSE NICOTINE POUCHES (UK MADE) - 20 POUCHES - BLUE RAZZ LEMONADE,,NIC-POUCH-MUSE-212,,MUSE,NICOTINE,NICOTINE POUCHES,Pieces,2.36,2.36,4.72,,1.0,,,Active,New,
12MG MUSE NICOTINE POUCHES (UK MADE) - 20 POUCHES - ORANGE MANGO,,NIC-POUCH-MUSE-218,,MUSE,NICOTINE,NICOTINE POUCHES,Pieces,2.36,2.36,4.72,,2.0,,,Active,New,
12MG MUSE NICOTINE POUCHES (UK MADE) - 20 POUCHES - STRAWBERRY RASPBERRY  CHERRY,,NIC-POUCH-MUSE-219,,MUSE,NICOTINE,NICOTINE POUCHES,Pieces,2.36,2.36,4.72,,2.0,,,Active,New,
0MG FANTASI BAR JUICE 100ML SHORTFILL (50VG/50PG) - GUMMY BEARS ICE,,VAP-JUICE-FANT-812,,FANTASI,VAPES,JUICE,Pieces,4.13,4.13,8.26,,2.0,,,Active,New,
0MG FANTASI BAR JUICE 100ML SHORTFILL (50VG/50PG) - RED GRAPE ICE,,VAP-JUICE-FANT-813,,FANTASI,VAPES,JUICE,Pieces,4.13,4.13,5.16,,2.0,,,Active,New,
0MG FANTASI BAR JUICE 100ML SHORTFILL (50VG/50PG) - TROPICAL PUNCH ICE,,VAP-JUICE-FANT-814,,FANTASI,VAPES,JUICE,Pieces,4.13,4.13,5.16,,2.0,,,Active,New,
0MG FANTASI BAR JUICE 100ML SHORTFILL (50VG/50PG) - WATERMELON CHERRY ICE,,VAP-JUICE-FANT-815,,FANTASI,VAPES,JUICE,Pieces,4.13,4.13,8.26,,2.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - BLUE RASPBERRY ICE,,VAP-KIT-IVG-846,,IVG,VAPES,REFILLABLE VAPE KIT,Pieces,5.84,5.84,11.68,,1.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - CLASSIC MENTHOL,,VAP-KIT-IVG -871,,IVG PRO,VAPES,REFILLABLE VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - FIZZY CHERRY,,VAP-KIT-IVG -874,,IVG PRO,VAPES,REFILLABLE VAPE KIT,Pieces,5.84,5.84,11.68,,0.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - LEMON LIME,,VAP-KIT-IVG -854,,IVG PRO,VAPES,PREFILLED VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - PINEAPPLE ICE,,VAP-KIT-IVG-845,,IVG,VAPES,PREFILLED VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - STRAWBERRY WATERMELON,,VAP-KIT-IVG -864,,IVG PRO,VAPES,PREFILLED VAPE KIT,Pieces,5.84,5.84,11.68,,1.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - DOUBLE MANGO,,VAP-KIT-IVG -873,,IVG PRO,VAPES,REFILLABLE VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - RED SOUR RASPBERRY,,VAP-KIT-IVG -859,,IVG PRO,VAPES,PREFILLED VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - STRAWBERRY ICE,,VAP-KIT-IVG -861,,IVG PRO,VAPES,PREFILLED VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
20MG IVG PRO 12 PREFILLED POD VAPE KIT 10000 PUFFS - BLUE SOUR RASPBERRY,,VAP-KIT-IVG -868,,IVG PRO,VAPES,REFILLABLE VAPE KIT,Pieces,5.84,5.84,11.68,,2.0,,,Active,New,
